2016-02-14 07:40:07 INFO  ComplexDataGson:27 - -------Round 1
2016-02-14 07:40:15 INFO  ComplexDataGson:54 - Json Generation Time(ms):: 3797149997
2016-02-14 07:40:16 INFO  ComplexDataGson:29 - Size of Complex content Jackson :: 250 MB
2016-02-14 07:40:16 INFO  ComplexDataGson:30 - --------------------------------------------------------------------------
2016-02-14 07:40:19 INFO  ComplexDataGson:64 - Generating Map from json Time(ms):: 3387405404
2016-02-14 07:40:19 INFO  ComplexDataGson:65 - --------------------------------------------------------------------------
2016-02-14 07:40:27 INFO  ComplexDataGson:76 - Generating Actual Object from json Time(ms):: 2878285736
2016-02-14 07:40:27 INFO  ComplexDataGson:77 - --------------------------------------------------------------------------
2016-02-14 07:40:31 INFO  ComplexDataGson:27 - -------Round 2
2016-02-14 07:40:37 INFO  ComplexDataGson:54 - Json Generation Time(ms):: 2490870463
2016-02-14 07:40:38 INFO  ComplexDataGson:29 - Size of Complex content Jackson :: 250 MB
2016-02-14 07:40:38 INFO  ComplexDataGson:30 - --------------------------------------------------------------------------
2016-02-14 07:40:41 INFO  ComplexDataGson:64 - Generating Map from json Time(ms):: 3039905087
2016-02-14 07:40:41 INFO  ComplexDataGson:65 - --------------------------------------------------------------------------
2016-02-14 07:40:47 INFO  ComplexDataGson:76 - Generating Actual Object from json Time(ms):: 3045785254
2016-02-14 07:40:47 INFO  ComplexDataGson:77 - --------------------------------------------------------------------------
2016-02-14 07:40:50 INFO  ComplexDataGson:27 - -------Round 3
2016-02-14 07:40:55 INFO  ComplexDataGson:54 - Json Generation Time(ms):: 2523651926
2016-02-14 07:40:56 INFO  ComplexDataGson:29 - Size of Complex content Jackson :: 250 MB
2016-02-14 07:40:56 INFO  ComplexDataGson:30 - --------------------------------------------------------------------------
2016-02-14 07:41:01 INFO  ComplexDataGson:64 - Generating Map from json Time(ms):: 4578827448
2016-02-14 07:41:01 INFO  ComplexDataGson:65 - --------------------------------------------------------------------------
2016-02-14 07:41:23 INFO  ComplexDataGson:76 - Generating Actual Object from json Time(ms):: 8280810781
2016-02-14 07:41:23 INFO  ComplexDataGson:77 - --------------------------------------------------------------------------
2016-02-14 07:41:27 INFO  ComplexDataGson:27 - -------Round 4
2016-02-14 07:41:33 INFO  ComplexDataGson:54 - Json Generation Time(ms):: 2370172675
2016-02-14 07:41:34 INFO  ComplexDataGson:29 - Size of Complex content Jackson :: 250 MB
2016-02-14 07:41:34 INFO  ComplexDataGson:30 - --------------------------------------------------------------------------
2016-02-14 07:42:06 INFO  ComplexDataGson:64 - Generating Map from json Time(ms):: 32830902935
2016-02-14 07:42:06 INFO  ComplexDataGson:65 - --------------------------------------------------------------------------
2016-02-14 07:42:14 INFO  ComplexDataGson:76 - Generating Actual Object from json Time(ms):: 2791214171
2016-02-14 07:42:14 INFO  ComplexDataGson:77 - --------------------------------------------------------------------------
2016-02-14 07:42:17 INFO  ComplexDataGson:27 - -------Round 5
2016-02-14 07:42:23 INFO  ComplexDataGson:54 - Json Generation Time(ms):: 2517693992
2016-02-14 07:42:24 INFO  ComplexDataGson:29 - Size of Complex content Jackson :: 250 MB
2016-02-14 07:42:24 INFO  ComplexDataGson:30 - --------------------------------------------------------------------------
2016-02-14 07:42:29 INFO  ComplexDataGson:64 - Generating Map from json Time(ms):: 4962835649
2016-02-14 07:42:29 INFO  ComplexDataGson:65 - --------------------------------------------------------------------------
2016-02-14 07:42:40 INFO  ComplexDataGson:76 - Generating Actual Object from json Time(ms):: 2876976750
2016-02-14 07:42:40 INFO  ComplexDataGson:77 - --------------------------------------------------------------------------
2016-02-14 07:42:44 INFO  ComplexDataGson:27 - -------Round 6
2016-02-14 07:42:50 INFO  ComplexDataGson:54 - Json Generation Time(ms):: 2983421369
2016-02-14 07:42:51 INFO  ComplexDataGson:29 - Size of Complex content Jackson :: 250 MB
2016-02-14 07:42:51 INFO  ComplexDataGson:30 - --------------------------------------------------------------------------
2016-02-14 07:43:05 INFO  ComplexDataGson:64 - Generating Map from json Time(ms):: 13683434909
