device_id,metric_name,create_time,metric_value,source
dev_101,cpu_usage,2026-04-21 18:57:01,72.5,agent
dev_102,cpu_usage,2026-04-21 18:57:02,65.1,agent
dev_103,memory_usage,2026-04-21 18:57:03,58.3,agent
dev_104,disk_io,2026-04-21 18:57:04,120.7,collector
dev_105,cpu_usage,2026-04-21 18:57:05,81.2,agent
dev_101,memory_usage,2026-04-21 18:57:06,63.4,agent
dev_102,disk_io,2026-04-21 18:57:07,95.6,collector
dev_103,cpu_usage,2026-04-21 18:57:08,49.8,agent
dev_104,memory_usage,2026-04-21 18:57:09,70.2,agent
dev_105,disk_io,2026-04-21 18:57:10,110.1,collector
dev_101,cpu_usage,2026-04-21 18:57:11,74.0,agent
dev_102,memory_usage,2026-04-21 18:57:12,60.9,agent
dev_103,disk_io,2026-04-21 18:57:13,88.2,collector
dev_104,cpu_usage,2026-04-21 18:57:14,66.7,agent
dev_105,memory_usage,2026-04-21 18:57:15,75.3,agent
dev_101,disk_io,2026-04-21 18:57:16,130.5,collector
dev_102,cpu_usage,2026-04-21 18:57:17,69.2,agent
dev_103,memory_usage,2026-04-21 18:57:18,55.1,agent
dev_104,disk_io,2026-04-21 18:57:19,102.4,collector
dev_105,cpu_usage,2026-04-21 18:57:20,83.6,agent
dev_106,cpu_usage,2026-04-21 18:57:21,61.3,agent
dev_107,memory_usage,2026-04-21 18:57:22,67.8,agent
dev_108,disk_io,2026-04-21 18:57:23,91.0,collector
dev_109,cpu_usage,2026-04-21 18:57:24,77.5,agent
dev_110,memory_usage,2026-04-21 18:57:25,62.6,agent
dev_106,disk_io,2026-04-21 18:57:26,105.3,collector
dev_107,cpu_usage,2026-04-21 18:57:27,71.4,agent
dev_108,memory_usage,2026-04-21 18:57:28,59.7,agent
dev_109,disk_io,2026-04-21 18:57:29,98.8,collector
dev_110,cpu_usage,2026-04-21 18:57:30,64.9,agent
dev_111,cpu_usage,2026-04-21 18:57:31,73.3,agent
dev_112,memory_usage,2026-04-21 18:57:32,68.1,agent
dev_113,disk_io,2026-04-21 18:57:33,115.9,collector
dev_114,cpu_usage,2026-04-21 18:57:34,79.0,agent
dev_115,memory_usage,2026-04-21 18:57:35,57.6,agent
dev_111,disk_io,2026-04-21 18:57:36,122.0,collector
dev_112,cpu_usage,2026-04-21 18:57:37,69.5,agent
dev_113,memory_usage,2026-04-21 18:57:38,61.2,agent
dev_114,disk_io,2026-04-21 18:57:39,99.1,collector
dev_115,cpu_usage,2026-04-21 18:57:40,82.7,agent
